CPT Codes,Procedure Code Category,Operative Procedure,Procedure Description,Procedure Code Descriptions
11008,HER,Herniorrhaphy,"Repair of inguinal, femoral, umbilical, or  anterior abdominal wall hernia; does not include repair of diaphragmatic or hiatal hernia or hernias at other body sites ","Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in No changeition to code for primary procedure)"
11970,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Replacement of tissue expander(s) with permanent implant
19101,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Biopsy of breast; open, incisional"
19105,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Ablation, cryosurgical, of fibroadenoma, including ultrasound guidance, each fibroadenoma"
19110,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Nipple exploration, with or without excision of a solitary lactiferous duct or a papilloma lactiferous duct"
19112,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Excision of lactiferous duct fistula
19120,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Excision of cyst, fibroadenoma, or other benign or malignant tumor, aberrant breast tissue, duct lesion, nipple or areolar lesion (except 19300), open, male or female, 1 or more lesions"
19125,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion "
19126,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion; each No changeitional lesion separately identified by a preoperative radiological marker (list separately in No changeition to code for primary procedures) excision of breast lesion identified by pre-operative placement of radiological marker, open, single lesion"
19300,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Mastectomy for gynecomastia
19301,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy);"
19302,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, partial (eg, lumpectomy, tylectomy, quadrantectomy, segmentectomy); with axillary lymphadenectomy"
19303,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, simple, complete"
19305,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, radical, including pectoral muscles, axillary lymph nodes"
19306,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, radical, including pectoral muscles, axillary and internal mammary lymph nodes (Urban type operation)"
19307,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mastectomy, modified radical, including axillary lymph nodes, with or without pectoralis minor muscle, but excluding pectoralis major muscle"
19316,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Mastopexy
19318,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Reduction mammaplasty
19324,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mammaplasty, augmentation; without prosthetic implant"
19325,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Mammaplasty, augmentation; with prosthetic implant"
19328,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Removal of intact mammary implant
19330,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Removal of mammary implant material
19340,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19342,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Delayed insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction"
19350,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Nipple/areola reconstruction
19355,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Correction of inverted nipples
19357,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion"
19361,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Breast reconstruction with latissimus dorsi flap, without prosthetic implant"
19364,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Breast reconstruction with free flap
19366,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Breast reconstruction with other technique
19367,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site;"
19368,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), single pedicle, including closure of donor site; with microvascular anastomosis (supercharging)"
19369,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Breast reconstruction with transverse rectus abdominis myocutaneous flap (TRAM), double pedicle, including closure of donor site"
19370,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Open periprosthetic capsulotomy, breast"
19371,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty","Periprosthetic capsulectomy, breast"
19380,BRST,Breast surgery,"Excision of lesion or tissue of breast including radical, modified, or quadrant resection, lumpectomy, incisional biopsy, or mammoplasty",Revision of reconstructed breast
20101,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)",Exploration of penetrating wound (separate procedure); chest
20102,XLAP,Exploratory laparotomy,Abdominal operations not involving the gastrointestinal tract or biliary system; includes diaphragmatic hernia repair through abdominal approach,Exploration of penetrating wound (separate procedure); abdomen/flank/back
21603,THOR,Thoracic surgery ,"Noncardiac, nonvascular thoracic surgery; includes pneumonectomy and hiatal hernia repair or diaphragmatic hernia repair (except through abdominal approach)","Excision of chest wall tumor involving rib(s), with plastic reconstruction; with mediastinal lymphadenectomy"
22220,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; cervical"
22222,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; thoracic"
22224,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; lumbar"
22532,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); thoracic"
22533,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar"
22548,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior transoral or extraoral technique, clivus-C1-C2 (atlas-axis), with or without excision of odontoid process"
22551,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2"
22554,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); cervical below C2"
22556,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); thoracic"
22558,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar"
22586,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, pre-sacral interbody technique, including disc space preparation, discectomy, with posterior instrumentation, with image guidance, includes bone graft when performed, L5-S1 interspace"
22590,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior technique, craniocervical (occiput-C2)"
22595,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior technique, atlas-axis (C1-C2)"
22600,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior or posterolateral technique, single level; cervical below C2 segment"
22610,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with lateral transverse technique, when performed)"
22612,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)"
22630,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior interbody technique, including laminectomy and/or discectomy to prepare interspace (other than for decompression), single interspace; lumbar"
22633,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar"
22800,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior, for spinal deformity, with or without cast; up to 6 vertebral segments"
22802,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments"
22804,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, posterior, for spinal deformity, with or without cast; 13 or more vertebral segments"
22808,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior, for spinal deformity, with or without cast; 2 to 3 vertebral segments"
22810,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior, for spinal deformity, with or without cast; 4 to 7 vertebral segments"
22812,FUSN,Spinal fusion,Immobilization of spinal column,"Arthrodesis, anterior, for spinal deformity, with or without cast; 8 or more vertebral segments"
22856,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection); single interspace, cervical"
22857,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy to prepare interspace (other than for decompression), single interspace, lumbar"
22861,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; cervical"
22862,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, single interspace; lumbar"
22867,LAM,Laminectomy,Exploration or decompression of spinal cord through excision or incision into vertebral structures,"Insertion of interlaminar/interspinous process stabilization/distraction device, without fusion, including image guidance when performed, with open decompression, lumbar; single level "
23615,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed;"
23616,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of proximal humeral (surgical or anatomical neck) fracture, includes internal fixation, when performed, includes repair of tuberosity(s), when performed; with proximal humeral prosthetic replacement"
23630,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of greater humeral tuberosity fracture, includes internal fixation, when performed"
23670,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of shoulder dislocation, with fracture of greater humeral tuberosity, includes internal fixation, when performed"
23680,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of shoulder dislocation, with surgical or anatomical neck fracture, includes internal fixation, when performed"
23900,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Interthoracoscapular amputation (forequarter)
23920,AMP,Limb amputation,"Total or partial amputation or disarticulation of the upper or lower limbs, including digits",Disarticulation of shoulder
24515,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of humeral shaft fracture with plate/screws, with or without cerclage"
24516,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Treatment of humeral shaft fracture, with insertion of intramedullary implant, with or without cerclage and/or locking screws"
24545,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension"
24546,FX,Open reduction of fracture,Open reduction of fracture or dislocation of long bones with our without internal or external fixation; does not include placement of joint prosthesis,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; with intercondylar extension"
