Zip Code,Territory Name,Region Name
00501,"St Louis, MO",Midwest
00544,"St Louis, MO",Midwest
00601,"St Louis, MO",Midwest
00602,"St Louis, MO",Midwest
00603,"St Louis, MO",Midwest
00604,"St Louis, MO",Midwest
00605,"St Louis, MO",Midwest
00606,"St Louis, MO",Midwest
00610,"St Louis, MO",Midwest
00611,"St Louis, MO",Midwest
00612,"St Louis, MO",Midwest
00613,"St Louis, MO",Midwest
00614,"St Louis, MO",Midwest
00616,"St Louis, MO",Midwest
00617,"St Louis, MO",Midwest
00622,"St Louis, MO",Midwest
00623,"St Louis, MO",Midwest
00624,"St Louis, MO",Midwest
00627,"St Louis, MO",Midwest
00631,"St Louis, MO",Midwest
00636,"St Louis, MO",Midwest
00637,"St Louis, MO",Midwest
00638,"St Louis, MO",Midwest
00641,"St Louis, MO",Midwest
00646,"St Louis, MO",Midwest
00647,"St Louis, MO",Midwest
00650,"St Louis, MO",Midwest
00652,"St Louis, MO",Midwest
00653,"St Louis, MO",Midwest
00656,"St Louis, MO",Midwest
00659,"St Louis, MO",Midwest
00660,"St Louis, MO",Midwest
00662,"St Louis, MO",Midwest
00664,"St Louis, MO",Midwest
00667,"St Louis, MO",Midwest
00669,"St Louis, MO",Midwest
00670,"St Louis, MO",Midwest
00674,"St Louis, MO",Midwest
00676,"St Louis, MO",Midwest
00677,"St Louis, MO",Midwest
00678,"St Louis, MO",Midwest
00680,"St Louis, MO",Midwest
00681,"St Louis, MO",Midwest
00682,"St Louis, MO",Midwest
00683,"St Louis, MO",Midwest
00685,"St Louis, MO",Midwest
00687,"St Louis, MO",Midwest
00688,"St Louis, MO",Midwest
00690,"St Louis, MO",Midwest
00692,"St Louis, MO",Midwest
00693,"St Louis, MO",Midwest
00694,"St Louis, MO",Midwest
00698,"St Louis, MO",Midwest
00703,"St Louis, MO",Midwest
00704,"St Louis, MO",Midwest
00705,"St Louis, MO",Midwest
00707,"St Louis, MO",Midwest
00714,"St Louis, MO",Midwest
00715,"St Louis, MO",Midwest
00716,"St Louis, MO",Midwest
00717,"St Louis, MO",Midwest
00718,"St Louis, MO",Midwest
00719,"St Louis, MO",Midwest
00720,"St Louis, MO",Midwest
00721,"St Louis, MO",Midwest
00723,"St Louis, MO",Midwest
00725,"St Louis, MO",Midwest
00726,"St Louis, MO",Midwest
00727,"St Louis, MO",Midwest
00728,"St Louis, MO",Midwest
00729,"St Louis, MO",Midwest
00730,"St Louis, MO",Midwest
00731,"St Louis, MO",Midwest
00732,"St Louis, MO",Midwest
00733,"St Louis, MO",Midwest
00734,"St Louis, MO",Midwest
00735,"St Louis, MO",Midwest
00736,"St Louis, MO",Midwest
00737,"St Louis, MO",Midwest
00738,"St Louis, MO",Midwest
00739,"St Louis, MO",Midwest
00740,"St Louis, MO",Midwest
00741,"St Louis, MO",Midwest
00742,"St Louis, MO",Midwest
00744,"St Louis, MO",Midwest
00745,"St Louis, MO",Midwest
00751,"St Louis, MO",Midwest
00754,"St Louis, MO",Midwest
00757,"St Louis, MO",Midwest
00765,"St Louis, MO",Midwest
00766,"St Louis, MO",Midwest
00767,"St Louis, MO",Midwest
00769,"St Louis, MO",Midwest
00771,"St Louis, MO",Midwest
00772,"St Louis, MO",Midwest
00773,"St Louis, MO",Midwest
00775,"St Louis, MO",Midwest
00777,"St Louis, MO",Midwest
00778,"St Louis, MO",Midwest
00780,"St Louis, MO",Midwest
00782,"St Louis, MO",Midwest
00783,"St Louis, MO",Midwest
00784,"St Louis, MO",Midwest
00785,"St Louis, MO",Midwest
00786,"St Louis, MO",Midwest
00791,"St Louis, MO",Midwest
00792,"St Louis, MO",Midwest
00794,"St Louis, MO",Midwest
00795,"St Louis, MO",Midwest
00801,"St Louis, MO",Midwest
00802,"St Louis, MO",Midwest
00803,"St Louis, MO",Midwest
00804,"St Louis, MO",Midwest
00805,"St Louis, MO",Midwest
00820,"St Louis, MO",Midwest
00821,"St Louis, MO",Midwest
00822,"St Louis, MO",Midwest
00823,"St Louis, MO",Midwest
00824,"St Louis, MO",Midwest
00830,"St Louis, MO",Midwest
00831,"St Louis, MO",Midwest
00840,"St Louis, MO",Midwest
00841,"St Louis, MO",Midwest
00850,"St Louis, MO",Midwest
00851,"St Louis, MO",Midwest
00901,"St Louis, MO",Midwest
00902,"St Louis, MO",Midwest
00906,"St Louis, MO",Midwest
00907,"St Louis, MO",Midwest
00908,"St Louis, MO",Midwest
00909,"St Louis, MO",Midwest
00910,"St Louis, MO",Midwest
00911,"St Louis, MO",Midwest
00912,"St Louis, MO",Midwest
00913,"St Louis, MO",Midwest
00914,"St Louis, MO",Midwest
00915,"St Louis, MO",Midwest
00916,"St Louis, MO",Midwest
00917,"St Louis, MO",Midwest
00918,"St Louis, MO",Midwest
00919,"St Louis, MO",Midwest
00920,"St Louis, MO",Midwest
00921,"St Louis, MO",Midwest
00922,"St Louis, MO",Midwest
00923,"St Louis, MO",Midwest
00924,"St Louis, MO",Midwest
00925,"St Louis, MO",Midwest
00926,"St Louis, MO",Midwest
00927,"St Louis, MO",Midwest
00928,"St Louis, MO",Midwest
00929,"St Louis, MO",Midwest
00930,"St Louis, MO",Midwest
00931,"St Louis, MO",Midwest
00933,"St Louis, MO",Midwest
00934,"St Louis, MO",Midwest
00935,"St Louis, MO",Midwest
00936,"St Louis, MO",Midwest
00937,"St Louis, MO",Midwest
00939,"St Louis, MO",Midwest
00940,"St Louis, MO",Midwest
00949,"St Louis, MO",Midwest
00950,"St Louis, MO",Midwest
00951,"St Louis, MO",Midwest
00952,"St Louis, MO",Midwest
00953,"St Louis, MO",Midwest
00954,"St Louis, MO",Midwest
00955,"St Louis, MO",Midwest
00956,"St Louis, MO",Midwest
00957,"St Louis, MO",Midwest
00958,"St Louis, MO",Midwest
00959,"St Louis, MO",Midwest
00960,"St Louis, MO",Midwest
00961,"St Louis, MO",Midwest
00962,"St Louis, MO",Midwest
00963,"St Louis, MO",Midwest
00965,"St Louis, MO",Midwest
00966,"St Louis, MO",Midwest
00968,"St Louis, MO",Midwest
00969,"St Louis, MO",Midwest
00970,"St Louis, MO",Midwest
00971,"St Louis, MO",Midwest
00975,"St Louis, MO",Midwest
00976,"St Louis, MO",Midwest
00977,"St Louis, MO",Midwest
00978,"St Louis, MO",Midwest
00979,"St Louis, MO",Midwest
00981,"St Louis, MO",Midwest
00982,"St Louis, MO",Midwest
00983,"St Louis, MO",Midwest
00984,"St Louis, MO",Midwest
00985,"St Louis, MO",Midwest
00986,"St Louis, MO",Midwest
00987,"St Louis, MO",Midwest
00988,"St Louis, MO",Midwest
01001,"Atlanta, GA",Southeast
01002,"Atlanta, GA",Southeast
01003,"Atlanta, GA",Southeast
01004,"Atlanta, GA",Southeast
01005,"Pittsburg, PA",Northeast
01007,"Atlanta, GA",Southeast
01008,"Atlanta, GA",Southeast
01009,"Atlanta, GA",Southeast
01010,"Pittsburg, PA",Northeast
01011,"Atlanta, GA",Southeast
01012,"Atlanta, GA",Southeast
01013,"Atlanta, GA",Southeast
01014,"Atlanta, GA",Southeast
01020,"Atlanta, GA",Southeast
01021,"Atlanta, GA",Southeast
01022,"Atlanta, GA",Southeast
01026,"Atlanta, GA",Southeast
01027,"Atlanta, GA",Southeast
01028,"Pittsburg, PA",Northeast
01029,"Atlanta, GA",Southeast
01030,"Atlanta, GA",Southeast
01031,"Pittsburg, PA",Northeast
01032,"Atlanta, GA",Southeast
01033,"Atlanta, GA",Southeast
01034,"Atlanta, GA",Southeast
01035,"Atlanta, GA",Southeast
01036,"Pittsburg, PA",Northeast
01037,"Pittsburg, PA",Northeast
01038,"Atlanta, GA",Southeast
01039,"Atlanta, GA",Southeast
01040,"Atlanta, GA",Southeast
01041,"Atlanta, GA",Southeast
01050,"Atlanta, GA",Southeast
01053,"Atlanta, GA",Southeast
01054,"Atlanta, GA",Southeast
01056,"Atlanta, GA",Southeast
01057,"Pittsburg, PA",Northeast
01059,"Atlanta, GA",Southeast
01060,"Atlanta, GA",Southeast
01061,"Atlanta, GA",Southeast
01062,"Atlanta, GA",Southeast
01063,"Atlanta, GA",Southeast
01066,"Atlanta, GA",Southeast
01068,"Pittsburg, PA",Northeast
01069,"Pittsburg, PA",Northeast
01070,"Atlanta, GA",Southeast
01071,"Atlanta, GA",Southeast
01072,"Atlanta, GA",Southeast
01073,"Atlanta, GA",Southeast
01074,"Pittsburg, PA",Northeast
01075,"Atlanta, GA",Southeast
01077,"Atlanta, GA",Southeast
01079,"Pittsburg, PA",Northeast
01080,"Atlanta, GA",Southeast
01081,"Pittsburg, PA",Northeast
01082,"Atlanta, GA",Southeast
01083,"Pittsburg, PA",Northeast
01084,"Atlanta, GA",Southeast
01085,"Atlanta, GA",Southeast
01086,"Atlanta, GA",Southeast
01088,"Atlanta, GA",Southeast
01089,"Atlanta, GA",Southeast
01090,"Atlanta, GA",Southeast
01092,"Pittsburg, PA",Northeast
01093,"Atlanta, GA",Southeast
01094,"Pittsburg, PA",Northeast
01095,"Atlanta, GA",Southeast
01096,"Atlanta, GA",Southeast
01097,"Atlanta, GA",Southeast
01098,"Atlanta, GA",Southeast
01101,"Atlanta, GA",Southeast
01102,"Atlanta, GA",Southeast
01103,"Atlanta, GA",Southeast
01104,"Atlanta, GA",Southeast
01105,"Atlanta, GA",Southeast
01106,"Pittsburg, PA",Northeast
01107,"Atlanta, GA",Southeast
01108,"Atlanta, GA",Southeast
01109,"Atlanta, GA",Southeast
01111,"Atlanta, GA",Southeast
01115,"Atlanta, GA",Southeast
01116,"Pittsburg, PA",Northeast
01118,"Atlanta, GA",Southeast
01119,"Atlanta, GA",Southeast
01128,"Atlanta, GA",Southeast
01129,"Atlanta, GA",Southeast
01138,"Atlanta, GA",Southeast
01139,"Atlanta, GA",Southeast
01144,"Atlanta, GA",Southeast
01151,"Atlanta, GA",Southeast
01152,"Atlanta, GA",Southeast
01199,"Atlanta, GA",Southeast
01201,"Atlanta, GA",Southeast
01202,"Atlanta, GA",Southeast
01203,"Atlanta, GA",Southeast
01220,"Atlanta, GA",Southeast
01222,"Atlanta, GA",Southeast
01223,"Atlanta, GA",Southeast
01224,"Atlanta, GA",Southeast
01225,"Atlanta, GA",Southeast
01226,"Atlanta, GA",Southeast
01227,"Atlanta, GA",Southeast
01229,"Atlanta, GA",Southeast
01230,"Atlanta, GA",Southeast
01235,"Atlanta, GA",Southeast
01236,"Atlanta, GA",Southeast
01237,"Atlanta, GA",Southeast
01238,"Atlanta, GA",Southeast
01240,"Atlanta, GA",Southeast
01242,"Atlanta, GA",Southeast
01243,"Atlanta, GA",Southeast
01244,"Atlanta, GA",Southeast
01245,"Atlanta, GA",Southeast
01247,"Atlanta, GA",Southeast
01252,"Atlanta, GA",Southeast
01253,"Atlanta, GA",Southeast
01254,"Atlanta, GA",Southeast
01255,"Atlanta, GA",Southeast
01256,"Atlanta, GA",Southeast
01257,"Atlanta, GA",Southeast
01258,"Atlanta, GA",Southeast
01259,"Atlanta, GA",Southeast
01260,"Atlanta, GA",Southeast
01262,"Atlanta, GA",Southeast
01263,"Atlanta, GA",Southeast
01264,"Atlanta, GA",Southeast
01266,"Atlanta, GA",Southeast
01267,"Atlanta, GA",Southeast
01270,"Atlanta, GA",Southeast
01301,"Atlanta, GA",Southeast
01302,"Atlanta, GA",Southeast
01330,"Atlanta, GA",Southeast
01331,"Atlanta, GA",Southeast
01337,"Atlanta, GA",Southeast
01338,"Atlanta, GA",Southeast
01339,"Atlanta, GA",Southeast
01340,"Atlanta, GA",Southeast
01341,"Atlanta, GA",Southeast
01342,"Atlanta, GA",Southeast
01343,"Atlanta, GA",Southeast
01344,"Atlanta, GA",Southeast
01346,"Atlanta, GA",Southeast
01347,"Atlanta, GA",Southeast
01349,"Atlanta, GA",Southeast
01350,"Atlanta, GA",Southeast
01351,"Atlanta, GA",Southeast
01354,"Atlanta, GA",Southeast
01355,"Atlanta, GA",Southeast
01360,"Atlanta, GA",Southeast
01364,"Atlanta, GA",Southeast
01366,"Atlanta, GA",Southeast
01367,"Atlanta, GA",Southeast
01368,"Atlanta, GA",Southeast
01370,"Atlanta, GA",Southeast
01373,"Atlanta, GA",Southeast
01375,"Atlanta, GA",Southeast
01376,"Atlanta, GA",Southeast
01378,"Atlanta, GA",Southeast
01379,"Atlanta, GA",Southeast
01380,"Atlanta, GA",Southeast
01420,"Pittsburg, PA",Northeast
01430,"Pittsburg, PA",Northeast
01431,"Pittsburg, PA",Northeast
01432,"Pittsburg, PA",Northeast
01434,"Pittsburg, PA",Northeast
01436,"Atlanta, GA",Southeast
01438,"Atlanta, GA",Southeast
01440,"Pittsburg, PA",Northeast
01441,"Pittsburg, PA",Northeast
01450,"Pittsburg, PA",Northeast
01451,"Pittsburg, PA",Northeast
01452,"Pittsburg, PA",Northeast
01453,"Pittsburg, PA",Northeast
01460,"Pittsburg, PA",Northeast
01462,"Pittsburg, PA",Northeast
01463,"Pittsburg, PA",Northeast
01464,"Pittsburg, PA",Northeast
01467,"Pittsburg, PA",Northeast
01468,"Atlanta, GA",Southeast
01469,"Pittsburg, PA",Northeast
01470,"Pittsburg, PA",Northeast
01471,"Pittsburg, PA",Northeast
01472,"Pittsburg, PA",Northeast
01473,"Pittsburg, PA",Northeast
01474,"Pittsburg, PA",Northeast
01475,"Atlanta, GA",Southeast
01501,"Pittsburg, PA",Northeast
01503,"Pittsburg, PA",Northeast
01504,"Pittsburg, PA",Northeast
01505,"Pittsburg, PA",Northeast
01506,"Pittsburg, PA",Northeast
01507,"Pittsburg, PA",Northeast
01508,"Pittsburg, PA",Northeast
01509,"Pittsburg, PA",Northeast
01510,"Pittsburg, PA",Northeast
01515,"Pittsburg, PA",Northeast
01516,"Pittsburg, PA",Northeast
01518,"Pittsburg, PA",Northeast
01519,"Pittsburg, PA",Northeast
01520,"Pittsburg, PA",Northeast
01521,"Pittsburg, PA",Northeast
01522,"Pittsburg, PA",Northeast
01523,"Pittsburg, PA",Northeast
01524,"Pittsburg, PA",Northeast
01525,"Pittsburg, PA",Northeast
01526,"Pittsburg, PA",Northeast
01527,"Pittsburg, PA",Northeast
01529,"Pittsburg, PA",Northeast
